Long	address	city	county	dateAvailable	facilityType	hours	instructions	lat	name	notes	phone	state	url	zip	zipCodeLat	zipCodeLong
-	Prattville, Al	Prattville	Autauga	-	Drive-Thru	Call To Confirm Hours And Location	They Are Only Testing Symptomatic Individuals With An Appointment. To Make An Appointment: If Symptomatic, Call (334) 747-0150 To Schedule A Phone Consultation. You Can Call This Line 24/7. If You Are Deemed Necessary To Have A Test,  An Appointment Will Be Provided, Along With Location. Drive To Your Scheduled Appointment. Park In Designated Testing Space. Wait Inside Your Car Where The Screening Will Be Administered.	-	Baptist Health, Prattville	-	-	Alabama	Https://Www.Baptistfirst.Org/Services/Coronavirus-Care-Clinic	-	-	-
-	1026 South Eufaula Ave. Eufaula, Al 36027	Eufaula	Barbour	-	Clinic	8Am - 8Pm Monday - Friday;  8Am - 6Pm Saturday; 1Pm - 6Pm Sunday	Located Across From Winn-Dixie On Hwy 431 In Eufaula. You May Walk In At Any Time To Be Evaluated For Coronavirus Testing. Copays Are Waived For Patients In Need Of Covid-19 Testing. If You Come To The Clinic For A Test, Please Be Sure The Front Desk Gives You A Face Mask Immediately. Please Put On The Facemask As Soon As It Is Handed To You. Wearing A Facemask Is The Best Way To Limit Any Potential Transmission. They Will Test You For Other Types Of Infection First, Then They Will Test For Coronavirus (Covid-19) If You Are A Candidate.	-	Main Street Family Care	-	(334) 689-4025	Alabama	Https://Www.Mainstreetfamilycare.Com/Coronavirus-Testing/	36027	31.9	-85.2
-	195 Hospital Drive Centreville, Al 35042	Centreville	Bibb	-	Clinic	8 Am - 5 Pm Monday - Friday	Please Call (205) 926-2992 If You Are Experiencing Covid-19 Symptoms To Set Up An Appointment.	-	Cahaba Medical Care-Community Center	-	(205) 926-2992	Alabama	Https://Covid19.Alabama.Gov/Locations?Query=Testing+Centers+In+Alabama	35042	32.9	-87.1
-	2022 2Nd Ave. East Oneonta, Al 35121	Oneonta	Blount	-	Clinic	8Am - 8Pm Monday - Friday;  8Am - 6Pm Saturday & Sunday	Located Across From Dollar Tree On Hwy 75 In Oneonta. You May Walk In At Any Time To Be Evaluated For Coronavirus Testing. Copays Are Waived For Patients In Need Of Covid-19 Testing. If You Come To The Clinic For A Test, Please Be Sure The Front Desk Gives You A Face Mask Immediately. Please Put On The Facemask As Soon As It Is Handed To You. Wearing A Facemask Is The Best Way To Limit Any Potential Transmission. They Will Test You For Other Types Of Infection First, Then They Will Test For Coronavirus (Covid-19) If You Are A Candidate.	-	Main Street Family Care	-	(205)-625-3650	Alabama	Https://Www.Mainstreetfamilycare.Com/Coronavirus-Testing/	35121	34.0	-86.5
-	300 North College Street, Greenville, Al 36037	Greenville	Butler	-	Clinic	8Am - 4 Pm	Patient Has To Call And Make An Appointment To Be Seen By A Provider.	-	Regional Medical Center	-	(334) 382-2681	Alabama	Https://Covid19.Alabama.Gov/Locations?Query=Testing+Centers+In+Alabama	36037	31.7	-86.7
-	230 E 10Th Street, In The Parking Lot Of The Medical Arts Building	Anniston	Calhoun	-	Drive-Through	8:30 Am - 4:30 Pm Monday - Friday	"We Are Requiring That Patients First Be Evaluated By Their Healthcare Provider To Determine If They Are A Candidate For Testing.  There Are A Very Limited Amount Of Testing Kits And Are Being Conserved For
Those Patients That Are In Most Need Of Testing. Health Care Providers Will Use Designated Screening Criteria To Determine If A Referral To The Screening Clinic Is Necessary."	-	Northeast Alabama Regional Medical Center	-	(256) 235-5600	Alabama	Https://Rmccares.Org/Wp-Content/Uploads/Media-Alert-Testing-Center-V3-003.Pdf	36207	33.7	-85.7
-	230 East 10Th Street, Anniston, Al 36207; Parking Lot Of The Medical Arts Building	Anniston	Calhoun	-	Drive-Thru	8 Am - 4:30 Pm Monday - Friday	Testing Is By Appointment Only With A Referral From Your Healthcare Provider. Rmc Will Contact You To Schedule An Appointment Once They Have Your Referral.	-	Regional Medical Center	-	(256) 238-5600	Alabama	Https://Rmccares.Org/Wp-Content/Uploads/Media-Alert-Testing-Center-V2-002.Pdf	36207	33.7	-85.7
-	4100 Mcclellan Boulevard, Anniston, Al 36201	Anniston	Calhoun	-	Drive-Thru	8 Am - 4 Pm Monday - Friday	Testing Is By Appointment Only, Walk-Ins Will Not Be Accepted. Call (256) 568-8818 To Discuss Your Symptoms And To Make An Appointment.	-	Southern Immediate Care	-	(256) 568-8818	Alabama	Https://Www.Facebook.Com/Southernimmediatecare/Videos/1599000206931665/	36201	33.65	-85.9
-	4800 48Th Street, Valley, Alabama 36854	Valley	Chambers	-	Hospital	24 Hours	Our Emergency Departments At Eamc And Eamc-Lanier Are Receiving Individuals Who Are Expressing That They Have One Or More Of The Symptoms Associated With Covid-19 And That Their Employer Is Requiring Them To Receive A Covid-19 “Test” Before Returning To Work. As A Reminder, We Cannot Test Every Person Who Has Any Of These Symptoms Just To Clear Them To Go Back To Work. Collection Kits Are Limited And Must Be Reserved For Patients Who Meet Screening Criteria For Testing. People With Symptoms Of Cough, Shortness Of Breath, And/Or Fever Can Contact Their Physician Or 334-528-Sick (334-528-7425) For Screening.	-	East Alabama Medical Center - Lanier	-	(334) 528-7425	Alabama	Https://Www.Eamc.Org/Patient-And-Guests/Covid-19-Information/	36854	32.7	-85.2
-	3306 20Th Ave., Valley, Al 36854	Valley	Chambers	-	Clinic	8Am - 8Pm Monday - Friday;  8Am - 6Pm Saturday & Sunday	Located One Block From Walmart On Hwy 29 In Valley. You May Walk In At Any Time To Be Evaluated For Coronavirus Testing. Copays Are Waived For Patients In Need Of Covid-19 Testing. If You Come To The Clinic For A Test, Please Be Sure The Front Desk Gives You A Face Mask Immediately. Please Put On The Facemask As Soon As It Is Handed To You. Wearing A Facemask Is The Best Way To Limit Any Potential Transmission. They Will Test You For Other Types Of Infection First, Then They Will Test For Coronavirus (Covid-19) If You Are A Candidate.	-	Main Street Family Care	-	(334) 756-0305	Alabama	Https://Www.Mainstreetfamilycare.Com/Coronavirus-Testing/	36854	32.7	-85.2
