address	city	county	facilityType	hours	instructions	lat	lng	name	phone	state	url	virtualVisit	zip	zipCodeLat	zipCodeLng
Isanotski Rd, False Pass, Ak 99583	False Pass	Aleutians East	Clinic	8 Am - 5 Pm Monday - Friday	Please Call The Clinic For Scheduling And Instructions	-	-	"Anna Hoblet Memorial Clinic
"	(907) 548-2742	Alaska	Https://Www.Freeclinics.Com/Det/Ak_Anna_Hoblet_Memorial_Clinic	-	99583	54.7	-164.0
65 Airport Way, Cold Bay, Ak 99571	Cold Bay	Aleutians East	Clinic	8 Am - 5 Pm Monday - Friday	Please Call The Clinic For Instructions And Scheduling.	-	-	Anna Livingston Memorial Clinic	(907) 532-2000	Alaska	Https://Www.Annalivingstonmemorial.Com/	-	99571	55.0	-161.0
100 Slocum Dr, King Cove, Ak 99612	King Cove	Aleutians East	Clinic	8 Am - 5 Pm Monday - Friday	Please Call The Clinic For Instructions And Scheduling.	-	-	King Cove Clinic	(907) 497-2210	Alaska	Https://Www.Freeclinics.Com/Det/Ak_King_Cove_Clinic	-	99612	56.0	-161.0
40 Main St, Nelson Lagoon, Ak, 99571	Nelson Lagoon	Aleutians East	Clinic	8 Am - 5 Pm Monday - Friday	Please Call The Clinic For Instructions And Scheduling.	-	-	Paul Martin Gunderson Memorial Clinic	(907) 989-2202	Alaska	Https://Freeclinicdirectory.Org/Detail/Nelson_Lagoon_Clinic_Nelson_Lagoon_Ak.Html	-	99571	55.0	-161.0
172 Red Cove Rd, Sand Point, Ak 99661	Sand Point	Aleutians East	Clinic	8 Am - 5 Pm Monday - Friday	Please Call The Clinic For Instructions And Scheduling.	-	-	Sand Point Clinic	(907) 383-3151	Alaska	Http://Www.Sandpointak.Com/Medical.Html	-	99661	55.3	-160.5
"2105 Main St.
Adak, Ak 99546"	Adak	Aleutians West	Clinic	8 Am - 5 Pm Monday - Friday	Please Contact Clinic By Phone For Instructions.	-	-	Adak Clinic	(907) 592-8383	Alaska	Https://Www.Freeclinics.Com/Det/Ak_Adak_Clinic	-	99546	52.0	0.0
34 Lavalle Ct, Unalaska, Ak 99685	Unalaska	Aleutians West	Clinic	8:30 Am - 6 Pm Monday - Friday; 8:30 Am - 1 Pm Saturday	Please Call The Clinic For Scheduling And Instructions Before Arriving	-	-	Iliuliuk Family And Health Services, Inc	(907) 581-1202	Alaska	Http://Www.Ifhs.Org/	Call To Schedule	99685	53.6	-167.0
1301 Huffman Rd, Anchorage, Ak 99515	Anchorage	Anchorage	Urgent Care	8 Am - 4 Pm Daily	An Appointment Is Not Required. You Will Remain In Your Vehicle And Providers Will Triage/Screen You Over The Phone And Determine If You Should Be Tested.	-	-	First Care Medical Center	(907) 345-1199	Alaska	Https://Www.Firstcareak.Com/	-	99515	61.1	-149.8
4115 Lake Otis Pkwyanchorage, Ak 99508; Near The Intersection Of Lake Otis And East 42Nd Ave.	Anchorage	Anchorage	Drive-Thru	11 Am - 6 Pm Monday - Friday; 11 Am - 3 Pm Saturday & Sunday	People Must Have A Referral Before Being Tested; Those Without A Referral Will Not Be Tested. Referrals Can Be Obtained During A Live, Phone Or A Virtual Appointment With A Clinician. Testing Involves Collecting A Swab From The Nose, Which Is Then Sent To A Lab For Testing. People Will Be Contacted With Results As Soon As They Are Available.	-	-	Providence Alaska Medical Center Drive Through	-	Alaska	Https://Blog.Providence.Org/Alaska-News/Keeping-Our-Patients-Caregivers-And-Community-Safe	-	99508	61.21	-149.82
631 Main St, Bethel, Ak 99559	Bethel	Bethel	Clinic	8 Am - 6 Pm Monday - Friday	Please Call Before Going In For Instructions And Scheduling Assistance.	-	-	Bethel Family Clinic	(907) 543-3773	Alaska	Http://Www.Bethelclinic.Org/	-	99559	61.0	-161.0
700 Chief Eddie Hoffman Hwy, Bethel, Ak 99559	Bethel	Bethel	Clinic	8 Am - 5 Pm Monday - Friday	Patients Are Encouraged To Contact Their Primary Healthcare Provider First. Please Call Before Going In For Instructions And Scheduling Assistance.	-	-	Bethel Public Health Center	(907) 543-2110	Alaska	Http://Dhss.Alaska.Gov/Dph/Nursing/Pages/South%20Central%20Public%20Health%20Center%20Pages/Bethel-Public-Health-Center.Aspx	-	99559	61.0	-161.0
700 Chief Eddie Hoffman Hwy, Bethel, Ak 99559	Bethel	Bethel	Drive-Thru	1 Am - 3 Pm Monday - Friday	All Testing Is By Appointment Only.	-	-	Yukon-Kuskokwim Delta Regional Hospital, Drive-Through Tent	(907) 543-6395	Alaska	Https://Www.Ykhc.Org/	-	99559	61.0	-161.0
2 School Rd, Naknek, Ak 99633	Naknek	Bristol Bay	Clinic	8 Am - 5 Pm Monday, Tuesday, Thursday, Friday 8 Am - 7 Pm Wednesday	Please Call The Clinic For Instructions And Scheduling.	-	-	Camai Community Health Center	(907) 246-6155	Alaska	Http://Camaichc.Org/	-	99633	58.8	-156.7
Parks Hwy, Cantwell, Ak 99729	Cantwell	Denali	Clinic	8:30 Am - 4:30 Pm Monday - Friday	Please Call Before Going In For Instructions And Scheduling.	-	-	Cantwell Community Clinic	(907) 768-2122	Alaska	Https://Crnative.Org/What-We-Do/Primary-Care/	-	99729	63.5	-148.7
5 Healy Spur Rd Mile 0, Healy, Ak 99743	Healy	Denali	Clinic	9:00 Am - 10:00 Am Monday - Friday	This Clinic Is A Satelite Program Of The Community Health Clinic In Healy.Walk-Ins Are Not Accepted. Please Call The Clinic Before Going In For Scheduling Assistance And Instructions. Testing Is Only Availale For The Hour Listed Each Day On The Schedule, Due To Specimen Transportation Requirements For Accurate Processing.	-	-	Interior Community Health Center - Healy	(907) 683-2211	Alaska	Https://Interiorhealthalaska.Com/Healy-Clinic/	-	99743	64.0	-148.0
7-115 Main St E, Dillingham, Ak 99576	Dillingham	Dillingham	Clinic	8:00 Am - 12:00 Pm & 1:00 Pm - 4:30 Pm Monday - Friday	Patients Are Encouraged To Contact Their Primary Healthcare Provider First. For Patients Who Do Not Have Access To A Health System And Qualify For Testing; There Is No Fee To Have This Completed At This Location	-	-	Dilingham Public Health Center	(907) 842-5981	Alaska	Http://Dhss.Alaska.Gov/Dph/Nursing/Pages/South%20Central%20Public%20Health%20Center%20Pages/Dillingham-Public-Health-Center.Aspx	-	99576	59.0	-158.5
5948 Kanakanak Rd, Dillingham, Ak 99576	Dillingham	Dillingham	Clinic	24 Hours	Please Call The Clinic For Instructions And Scheduling.	-	-	Kanakanak Community Health Clinic	(907) 842-9244	Alaska	Https://Freeclinicdirectory.Org/Detail/Kanakanak_Hospital2_Dillingham_Ak.Html	-	99576	59.0	-158.5
