address	city	county	facilityType	hours	instructions	lat	lng	name	phone	state	url	zip	zipCodeLat	zipCodeLng
3000 N Fourth St, Flagstaff, Az 86004	Flagstaff	Coconino	Drive-Thru	10Am To 3Pm (As Supplies Last) Monday - Friday	An Order From A Medical Provider Is Required For Testing. Testing Sites Are Not Open To The Public And People Without The Proper Documentation Will Be Turned Away. The Drive-Up Site Is For Swab Collection. Once Complete, The Swab Sample Will Be Taken To A Test Site For Covid-19 Testing.	-	-	Coconino Community College Fourth Street Campus	(928) 679-7300	Arizona	Https://Www.Coconino.Az.Gov/2317/Call-Center---928-679-7300	-	-	-
2446 Fort Tuthill Loop, Flagstaff, Az 86004	Flagstaff	Coconino	-	10 Am - 3 Pm Monday - Friday	A Medical Provider Will Be Onsite And Able To Help Screen Symptomatic Individuals For Covid-19.	-	-	Fort Tuthill Drive-Thru	(928) 679-7300	Arizona	Https://Www.Coconino.Az.Gov/Covid19	86004	36.0	-111.0
1201 S 7Th Ave # 150, Phoenix, Az 85007	Phoenix	Maricopa	-	Call To Confirm	Click On The Covid-19 Assessment Tool Link To Determine If You Qualify For Coronavirus Testing. If So, They Will Recommend A Virtual Consultation At Https://Tenethealth.Amwell.Com.	-	-	Abrazo Health	(877) 934-9355	Arizona	Https://Www.Abrazohealth.Com/Our-Response-To-Covid-19	85007	33.45	-112.09
Three Locations In The Phoenix Metropolitan Area	Phoenix	Maricopa	Drive-Thru	Phones Will Be Operated 7 A.M. - 6 P.M. Monday Through Thursday And 7 A.M. - 5 P.M. On Friday	If You Are Concerned That You Might Have Covid-19, Call 1-844-549-1851 And A Member Of Our Clinical Team Will Screen You Over The Phone. Phones Will Be Operated 7 A.M. - 6 P.M. Monday Through Thursday And 7 A.M. - 5 P.M. On Friday. If Our Team Member Determines That You Meet Criteria For Testing, You Will Be Scheduled For An Appointment At One Of Our Drive-Through Sites. Please Bring Your Health Insurance Card With You If You Have One. Upon Arrival, You Will Be Asked To Stay Inside Your Car And Sign Paperwork Stating You Are Experiencing Symptoms Of Covid-19, You Agree To Be Tested And You Will Self-Isolate Until You Are Contacted By Banner With Your Test Results. If You Agree To These Terms, A Banner Team Member Will Swab The Inside Of Your Nose To Collect A Sample. This Process Will Take 5-20 Minutes. You Can Then Return Home To Isolate Until We Contact You With Your Results.	-	-	Banner Health	(844) 549-1851	Arizona	Https://Www.Bannerhealth.Com/Patients/Patient-Resources/Covid-19	-	-	-
1625 N Campbell Ave, Tucson, Az 85719	Tucson	Maricopa	Drive-Thru	Phones Will Be Operated 7 A.M. - 6 P.M. Monday Through Thursday And 7 A.M. - 5 P.M. On Friday	If You Are Concerned That You Might Have Covid-19, Call 1-844-549-1851 And A Member Of Our Clinical Team Will Screen You Over The Phone. Phones Will Be Operated 7 A.M. - 6 P.M. Monday Through Thursday And 7 A.M. - 5 P.M. On Friday. If Our Team Member Determines That You Meet Criteria For Testing, You Will Be Scheduled For An Appointment At One Of Our Drive-Through Sites. Please Bring Your Health Insurance Card With You If You Have One. Upon Arrival, You Will Be Asked To Stay Inside Your Car And Sign Paperwork Stating You Are Experiencing Symptoms Of Covid-19, You Agree To Be Tested And You Will Self-Isolate Until You Are Contacted By Banner With Your Test Results. If You Agree To These Terms, A Banner Team Member Will Swab The Inside Of Your Nose To Collect A Sample. This Process Will Take 5-20 Minutes. You Can Then Return Home To Isolate Until We Contact You With Your Results.	-	-	Banner Health	(844) 549-1851	Arizona	Https://Www.Bannerhealth.Com/Patients/Patient-Resources/Covid-19	85719	32.25	-110.95
10010 North Scottsdale Road, Scottsdale, Az 85253	Scottsdale	Maricopa	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Arizona	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	85253	33.54	-111.97
990 East Warner Road, Chandler, Az 85225	Chandler	Maricopa	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Arizona	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	85225	33.32	-111.82
1625 North 44Th Street, Phoenix, Az 85008	Phoenix	Maricopa	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Arizona	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	85008	33.46	-111.99
3990 West Ray Road, Chandler, Az 85226	Chandler	Maricopa	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Arizona	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	85226	33.27	-111.99
9230 E. Broadway Road, Mesa, Az 85208	Mesa	Maricopa	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Arizona	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	85208	33.4	-111.63
