address	city	county	dateAvailable	facilityType	hours	instructions	lat	lng	name	phone	state	url	zip	zipCodeLat	zipCodeLng
1609 North Medical Drive Stuttgart, Ar 72160	Stuttgart	Arkansas	-	Drive-Thru	8 A.M. - 5 P.M Monday - Friday	For Arkansas County Residents, A Drive-Thru Covid-19 Screening Station Has Been Set Up In The Parking Lot Of The Baptist Health Stuttgart Medical Clinic. It Is Operating Monday Through Friday, 8 A.M. To 5 P.M. Those Who Have Symptoms And Need To Be Screened At The Arkansas County Site Should Call Ahead To (870) 673-7211. Please Do Not Come To The Drive-Thru Testing Site Without An Appointment.	-	-	Baptist Health Stuttgart Medical Clinic	(870) 673-7211	Arkansas	Https://Www.Baptist-Health.Com/Baptist-Health-Coronavirus-Screening-Locations/	72160	34.4	-91.5
100 Broadhurst St., Siloam Springs, Ar 72761	Siloam Springs	Benton	-	Clinic	8 Am - 5 Pm Monday, Wednesday, Thursday, Friday; 8 Am - 12 Pm Tuesday	Please Call The Clinic If You Are Experiencing Covid-19 Symptoms For Screening.	-	-	Broadhurst St. Medical Clinic	(479) 373-1591	Arkansas	Https://Www.Cpgclinics.Com/Broadhurst-Medical-Clinic	72761	36.2	-94.5
2090 S Promenade Blvd, Rogers, Ar 72758	Rogers	Benton	-	Drive-Thru	8 A.M.-3 P.M. Monday - Friday; 8 A.M.-Noon Saturday & Sunday	You Must Call Ahead And Be Screened Over The Phone To Be Tested. You Will Be Turned Away If You Have Not Been Pre-Screened. The Mercy Coronavirus Evaluation Site Is Exclusively For Patients Who Have A Fever Of At Least 100.4 Degrees And Respiratory Symptoms Including Cough Or Shortness Of Breath And Either Travel To A High-Risk Area Or Contact With A Known Patient.	-	-	Mercy Coronavirus Evaluation Site	(479) 717-7585	Arkansas	Https://Www.Arkansasonline.Com/News/2020/Apr/18/Northwest-Arkansas-Sites-Test-More-Peop/	72758	36.3	-94.1
702 Sw 8Th Street, Bentonville, Ar 72712	Bentonville	Benton	-	Drive-Thru	9 Am - 4 Pm Daily	A Drive-Thru Covid-19 Testing Site For All Health Care Providers And First Responders And Anyone Exhibiting Symptoms Of The Covid-19 Virus. All Appointments Will Be Drive-Thru, Observed Self-Collection In The Walmart Parking Lot. Quest’S Myquest™ Online Portal Will Screen And Schedule Those Individuals Who Meet The Cdc Eligibility. To Be Tested, Individuals Must Have A Scheduled Appointment From Myquest™ And No Walk-Ups Will Be Seen. The Testing Site Is Supported By Walmart, Quest Diagnostics And State And Local Officials.  You Must First Qualify For Covid-19 Screening And Schedule An Appointment At: Www.Myquestcovidtest.Com.  If You Have Any Questions Regarding Your Scheduled Appointment, Please Call Quest’S Dedicated Covid-19 Line At (866) 448-7719.	-	-	Quest Diagnostics At Walmart Covid Drive-Thru	(866) 448-7719	Arkansas	Https://Corporate.Walmart.Com/Covid19Testing	72712	36.3	-94.3
1233 W. Poplar Street Rogers, Ar 72756	Rogers	Benton	3/19/2020	Clinic	Monday 7:30 To 6 P.M.; Tuesday 7:30 A.M. To 7 P.M.; Wednesday 7:30 A.M. To 6 P.M.; Thursday: 7:30 A.M. To 6 P.M.; Friday: 7:30 A.M. To 5 P.M.	Patients With A Fever, Cough Or Shortness Of Breath Should Call And Make An Appointment To Get Screened. Anyone With Concerns Should Call 1-855-438-2280.	-	-	Rogers Community Clinic	(855) 438-2280	Arkansas	Https://Www.4029Tv.Com/Article/Four-Covid-19-Testing-Sites-To-Open-In-Northwest-Arkansas/31707148#	72756	36.3	-94.0
500 S. Mt. Olive Street #200 Siloam Springs, Ar 72761	Siloam Springs	Benton	3/20/2020	Clinic	Monday: 7 A.M. To 5 P.M.; Tuesday: 8 A.M. To 7 P.M.; Wednesday Through Friday: 8 A.M. To 5 P.M.	Patients With A Fever, Cough Or Shortness Of Breath Should Call And Make An Appointment To Get Screened. Anyone With Concerns Should Call 1-855-438-2280.	-	-	"Siloam Springs Community Clinic
"	(855) 438-2280	Arkansas	Https://Www.4029Tv.Com/Article/Four-Covid-19-Testing-Sites-To-Open-In-Northwest-Arkansas/31707148#	72761	36.2	-94.5
451 S. Holly St., Siloam Springs, Ar 72761	Siloam Springs	Benton	-	Clinic	7 Am - 6 Pm Monday - Friday; 8 Am - 12 Pm Saturday	They Are Testing For Covid-19 When Indicated; If You Suspect You Have Covid-19, Or Have Been Exposed To Covid-19, Please Call For Instruction.	-	-	Siloam Springs Medical Center	(479) 524-3141	Arkansas	Https://Www.Cpgclinics.Com/Siloam-Springs-Medical-Center	72761	36.2	-94.5
-	-	Boone	-	Screening Hotline	-	If You Have Questions About The Virus, If You Are Experiencing Symptoms Such As Running A Fever, Have A Cough Or Shortness Of Breath, Or Have Been Exposed To A Covid-19 Positive Patient, Please Call (870) 414-4010 For The Narmc Covid-19 Call Center. If They Determine That You Need Testing, They Will Give You Directions.	-	-	North Arkansas Regional Medical Center (Narmc)	(870) 414-4010	Arkansas	Https://Www.Narmc.Com/Covid-19	-	-	-
146 Passion Play Rd, Eureka Springs, Ar 72632	Eureka Springs	Carroll	-	Clinic	9 A.M. - 1 P.M. Monday - Friday	Upon Arrival To The Clinic, Individuals Will Be Evaluated To Identify Their Risk Factors For The Virus. The Screening Clinic Will Follow Guidelines As Established By The Arkansas Department Of Health For Testing. Only Individuals Who Have Current Symptoms Of A Respiratory Infection, Including High Fever, Cough And Shortness Of Breath And Who Also Meet The Following Criteria Will Be Tested: Over The Age Of 65 Or Have A Chronic Illness Or Have Had Close Contact With An Individual Confirmed To Have Coronavirus Or Is A Healthcare Worker	-	-	Eureka Springs Family Medical Clinic	(479) 253-9746	Arkansas	Https://Www.Wregional.Com/Main/Eureka-Springs-Family-Clinic	72632	36.4	-93.8
10 Montgomery Dr, Arkadelphia, Ar 71923; Parking Lot	Arkadelphia	Clark	-	Drive-Thru	8 Am - 12 Pm And 1 Pm - 5 Pm Monday - Friday	Testing At The Drive-Thru Is By Appointment Only. Call Ahead To Schedule An Appointment.	-	-	Baptist Health Family Clinic-Caddo Valley	(870) 245-2198	Arkansas	Https://Www.Baptist-Health.Com/Location/Baptist-Health-Medical-Center-Heber-Springs/	71923	34.1	-93.1
