address	city	county	dateAvailable	facilityType	hours	inQZ	instructions	lat	lng	name	phone	state	url	virtualVisit	zip	zipCodeLat	zipCodeLng
2920 Telegraph Ave, Berkeley, Ca 94705	Berkeley	Alameda	-	Clinic	9 Am - 7 Pm	Yes	If The Provider Believes The Covid-19 Test Is Appropriate For You After Your Free Virtual Screening Using The Coronavirus Assessment Tool, We Will Perform A Physical Evaluation, Conduct The Collection Onsite, And Send The Specimen To Either Quest Or Labcorp Depending On Your Insurance.	-	-	Carbon Health	(510) 686-3621	California	Https://Www.Businessinsider.Com/Carbon-Health-San-Francisco-Coronavirus-Testing-Bay-Area-2020-3	Yes	94705	37.86	-122.26
411 Grand Ave, Oakland, Ca 94610	Oakland	Alameda	-	Clinic	8 Am - 6 Pm	Yes	If The Provider Believes The Covid-19 Test Is Appropriate For You After Your Free Virtual Screening Using The Coronavirus Assessment Tool, We Will Perform A Physical Evaluation, Conduct The Collection Onsite, And Send The Specimen To Either Quest Or Labcorp Depending On Your Insurance.	-	-	Carbon Health	(510) 844-4097	California	Https://Www.Businessinsider.Com/Carbon-Health-San-Francisco-Coronavirus-Testing-Bay-Area-2020-3	Yes	94610	37.81	-122.24
2000 Driscoll Road Fremont, Ca 94539	Fremont	Alameda	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	California	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	94539	37.52	-121.9
7200 Bancroft Avenue Oakland, Ca 94605	Oakland	Alameda	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	California	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	94605	37.76	-122.16
1550 East 14Th Street San Leandro, Ca 94577	San Leandro	Alameda	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	California	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	94577	37.71	-122.16
26059 Mission Boulevard Hayward, Ca 94544	Hayward	Alameda	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	California	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	94544	37.64	-122.06
3999 Santa Rita Road	Pleasanton	Alameda	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	California	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	94588	37.7	-121.9
6750 Bernal Avenue	Pleasanton	Alameda	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	California	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	94566	37.65	-121.86
3010 Bernal Avenue	Pleasanton	Alameda	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	California	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	94566	37.65	-121.86
7200 Stevenson Blvd., Fremont, Ca 94538	Fremont	Alameda	-	Drive-Thru	Open Daily From Around 10 A.M. To 5 P.M. Or Until The Maximum Number Of Tests Available For The Day Have Been Given Out.	Yes	The Site Will Allow People Who Are Sick, First Responders And Front Line Health Care Personnel With Recent Suspected Exposure To The Virus To Be Tested For Free. The Testing Center Will Be At The Fremont Fire Tactical Training Center, Located At 7200 Stevenson Blvd.	-	-	Fremont Fire Tactical Training Center	(510) 789-7231	California	Https://Www.Kron4.Com/News/Bay-Area/Fremont-To-Open-Covid-19-Drive-Thru-Testing-Site/	No	94538	37.51	-121.99
