address	city	county	facilityType	hours	inQZ	instructions	lat	lng	name	phone	state	url	virtualVisit	zip	zipCodeLat	zipCodeLng
229 Hope Street, Stamford, Ct 06906	Stamford	Connecticut	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Connecticut	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	06906	41.07	-73.52
1938 West Main Street, Stamford, Ct 06902	Stamford	Connecticut	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Connecticut	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	06902	41.06	-73.54
1770 Kings Highway, Fairfield, Ct 06824	Fairfield	Connecticut	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Connecticut	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	06824	41.17	-73.28
267 Grant St., Bridgeport, Ct 06610	Bridgeport	Fairfield	Drive-Thru	8 Am - 5 Pm Monday - Friday; 9 Am - 3 Pm Saturday	No	You Must Have An Order From Your Healthcare Provider In Order To Have A Test. Once Your Doctor Has Submitted The Lab Order, You Will Receive A Call From Ynhhs Central Scheduling Staff Who Will Provide You With An Appointment Date And Time And The Location Of The Specimen Collection Station Where You Will Have Your Test. Please Arrive Only At The Location And Time You Were Given. Proceed As Directed By Signs And Hospital Staff.	-	-	Bridgeport Hospital	(203) 384-3000	Connecticut	Https://Www.Ynhhs.Org/Patient-Care/Covid-19/Covid-19-Testing.Aspx	No	06610	41.2	-73.17
Shippan Ave, Stamford, Ct 06902	Stamford	Fairfield	Drive-Thru	Not Available	No	Testing Requires A Referral From A Physician.	-	-	Cummings Beach	-	Connecticut	Http://Connecticut.News12.Com/Story/41920962/Covid19-Testing-Site-Opens-At-Cummings-Beach-In-Stamford	No	06902	41.06	-73.54
47 Lake Avenue Extension, Danbury, Ct 06811	Danbury	Fairfield	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Connecticut	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	06811	41.42	-73.48
961 Black Rock Turnpike	Fairfield	Fairfield	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Connecticut	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	06430		
7 Durant Avenue, Bethel, Ct 06801	Bethel	Fairfield	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Testing Site – By Appointment Only	-	Connecticut	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	06801	41.38	-73.39
1 Hawley Lane, Stratford, Ct 06497	Stratford	Fairfield	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Testing Site – By Appointment Only	-	Connecticut	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	06497		
24 Hospital Ave, Danbury, Ct 06810	Danbury	Fairfield	Drive-Thru	8:30 Am - 3:30 Pm Monday - Saturday	No	All Testing Is Appointment-Only And Patients Must Be Referred By A Physician.	-	-	Danbury Hospital	(203) 739-7000	Connecticut	Https://Www.Westernconnecticuthealthnetwork.Org/Novel-Coronavirus-Covid19-Update/Covid19-Collection-Site-Information#_Ga=2.268066316.309585802.1584719035-220333077.1584719035	No	06810	41.38	-73.47
