address	city	county	facilityType	hours	inQZ	instructions	lat	lng	name	phone	state	url	zip	zipCodeLat	zipCodeLng
3925 Nw 43Rd Street, Gainesville, Fl 32606	Gainesville	Alachua	Urgent Care	8Am-8Pm, 7 Days A Week	-	"Visitor Guidelines And Risk Screening
Visitation Procedures Are Designed For The Protection Of Our Patients And Employees.

-For Your Safety And The Safety Of Our Caregivers, Masks Are Required For Everyone Entering The Building.
-Upon Entry To The Building, Everyone Will Be Screened.
-If Symptomatic You And Any Accompanying Individual Will Be Asked To Put On A Face Mask Before Approaching The Front Desk.
-Patients Over The Age Of 18 Who Do Not Require Assistance Of A Caregiver Are Asked To Enter The Practice Alone.
-For Patients Under The Age Of 18 We Ask That Only One Parent Or Guardian Accompany The Patient To Their Appointment."	-	-	Carespot Urgent Care-Gainesville 43Rd Street	(352) 415-9137	Florida	Https://Www.Carespot.Com/Carespot-Urgent-Care/43Rd-Street-Gainesville-Fl/	32606	29.68	-82.43
3581 Sw Archer Road, Suite 40, Gainesville, Fl 32608	Gainesville	Alachua	Urgent Care	8Am-8Pm, 7 Days A Week	-	"Visitor Guidelines And Risk Screening
Visitation Procedures Are Designed For The Protection Of Our Patients And Employees.

-For Your Safety And The Safety Of Our Caregivers, Masks Are Required For Everyone Entering The Building.
-Upon Entry To The Building, Everyone Will Be Screened.
-If Symptomatic You And Any Accompanying Individual Will Be Asked To Put On A Face Mask Before Approaching The Front Desk.
-Patients Over The Age Of 18 Who Do Not Require Assistance Of A Caregiver Are Asked To Enter The Practice Alone.
-For Patients Under The Age Of 18 We Ask That Only One Parent Or Guardian Accompany The Patient To Their Appointment."	-	-	Carespot Urgent Care-Gainesville Archer Road	(352) 415-9120	Florida	Https://Www.Carespot.Com/Carespot-Urgent-Care/Archer-Road-Gainesville-Fl/	32608	29.59	-82.4
720 Sw 2Nd Avenue, Suite 160A, Gainesville, Fl 32601	Gainesville	Alachua	Urgent Care	8Am-8Pm, 7 Days A Week	-	"Visitor Guidelines And Risk Screening
Visitation Procedures Are Designed For The Protection Of Our Patients And Employees.

-For Your Safety And The Safety Of Our Caregivers, Masks Are Required For Everyone Entering The Building.
-Upon Entry To The Building, Everyone Will Be Screened.
-If Symptomatic You And Any Accompanying Individual Will Be Asked To Put On A Face Mask Before Approaching The Front Desk.
-Patients Over The Age Of 18 Who Do Not Require Assistance Of A Caregiver Are Asked To Enter The Practice Alone.
-For Patients Under The Age Of 18 We Ask That Only One Parent Or Guardian Accompany The Patient To Their Appointment."	-	-	Carespot Urgent Care-Gainesville Midtown	(352) 535-8067	Florida	Https://Www.Carespot.Com/Carespot-Urgent-Care/Midtown-Gainesville-Fl/	32601	29.64	-82.32
901 North Main Street Gainesville, Fl 32601	Gainesville	Alachua	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	32601	29.64	-82.32
3404 S.W. Archer Road, Gainesville, Fl 32608	Gainesville	Alachua	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Testing Site – By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	32608	29.59	-82.4
224 Se 24Th Street Gainesville, Fl 32641	Gainesville	Alachua	Health Department	8:00Am To 5:00Pm, Monday - Friday	No	Only Those Who Are First Screened For The Cdc'S Specific Criteria By Their Doctor Or By The Health Department Will Be Referred For Testing.	-	-	Florida Department Of Health In Alachua - Main Site - Gainesville	(352) 334-7900	Florida	Http://Www.Floridahealth.Gov/Programs-And-Services/County-Health-Departments/Index.Html	32641	29.63	-82.24
121 West Macclenney Avenue, Macclenny, Fl 32063	Macclenny	Baker	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Testing Site – By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	32063	30.3	-82.1
480 West Lowder Street Macclenny, Fl 32063	Macclenny	Baker	Health Department	8Am - 5Pm, Monday - Friday	No	This Facility Does Not Have Clinic Services. When Contacting, Must Be First Screened For Symptoms And Then You Will Be Referred To Clinic/Facility For Testing.	-	-	Main Health Department	(904) 259-6291	Florida	Http://Www.Floridahealth.Gov/Programs-And-Services/County-Health-Departments/Index.Html	32063	30.3	-82.1
351 E. 13Th St. Panama City	Panama City	Bay	Drive-Thru	9Am-1Pm, Tuesday And Thursday	No	"The Testing Is Provided At No Cost To Patients.

Anyone Wanting To Get Tested Must First Call 850-746-2684 For A Phone Screening. The Call Center Is Open From 8:00 A.M. Until 10:00 P.M. Monday Through Friday.

"	-	-	Ascension Medical Group Sacred Heart	-	Florida	Https://Www.Wjhg.Com/Content/News/Drive-Through-Covid-19-Testing-Schedule--569982681.Html	32401	30.16	-85.67
725 Ohio Ave. Lynn Haven	Lynn Haven	Bay	Drive-Thru	9Am-1Pm, Mondays And Wednesdays.	No	Testing Will Be Provided At No Cost To Patients. While The Test Center Will Bill Insurers, There Will Be No Out-Of-Pocket Cost For People With Or Without Insurance.	-	-	Ascension Medical Group Sacred Heart	-	Florida	Https://Www.Thedestinlog.Com/News/20200416/Covid-19-Drive-Thru-Testing-Sites-Coming-To-Bay-County-Destin	32444	30.23	-85.64
