address	city	county	facilityType	hours	inQZ	instructions	lat	lng	name	phone	state	url	virtualVisit	zip	zipCodeLat	zipCodeLng
5450 Ga-20, Cartersville, Ga, 30121	Cartersville	Bartow	Drive-Thru	9Am-5Pm, Monday-Friday; 9Am-1Pm, Saturday	No	"Testing At This Location Requires A Doctor'S Order. Your Doctor Must First Fill Out The Georgia Department Of Health Referral Form: Https://Dhpexternal.Dph.Ga.Gov/Spoc.Html
Followed By The Spoc Screening Form: Https://Sendss.State.Ga.Us/Sendss/Ncovspoc.Assess 
Based Upon The Cdc Criteria For Symptoms And Exposure, It Will Be Determined If You Are In Need Of Testing. If You Are Referred For Testing, You Will Be Given An Id Number And Directed To The Nearest Testing Location."	-	-	Clarence Brown Conference Center	-	Georgia	Https://Sendss.State.Ga.Us/Sendss/Ncovspoc.Assess	-	30121	34.2	-84.8
4080 Bloomfield Road Macon, Ga 31206	Macon	Bibb	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Georgia	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	31206	32.8	-83.69
2324 Us Highway 17, Richmond Hill, Ga 31324	Richmond Hill	Bryan	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Georgia	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	31324	31.9	-81.3
16942 Ga-67, Statesboro, Ga 30458	Statesboro	Bulloch	Drive-Thru	9Am-1Pm, Monday-Friday	No	"Testing At This Location Requires A Doctor'S Order. Your Doctor Must First Fill Out The Georgia Department Of Health Referral Form: Https://Dhpexternal.Dph.Ga.Gov/Spoc.Html
Followed By The Spoc Screening Form: Https://Sendss.State.Ga.Us/Sendss/Ncovspoc.Assess 
Based Upon The Cdc Criteria For Symptoms And Exposure, It Will Be Determined If You Are In Need Of Testing. If You Are Referred For Testing, You Will Be Given An Id Number And Directed To The Nearest Testing Location."	-	-	Kiwanis Ogeechee Fair	-	Georgia	Https://Sendss.State.Ga.Us/Sendss/Ncovspoc.Assess	-	30458	32.4	-81.9
5401 Abercorn Street, Savannah, Ga 31406	Savannah	Chatham	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Georgia	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	31406	31.97	-81.08
5690 Ogeechee Road, Savannah, Ga 31405	Savannah	Chatham	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Georgia	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	31405	32.04	-81.17
712 Stephenson Avenue Savannah, Ga 31405	Savannah	Chatham	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Georgia	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	31405	32.04	-81.17
12012 Abercorn Street	Savannah	Chatham	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Georgia	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	31419	32.0	-81.2
7221 Sallie Mood Drive, Savannah, Ga, 31406	Savannah	Chatham	Drive-Thru	9Am-4Pm, Monday-Friday	No	"Testing At This Location Requires A Doctor'S Order. Your Doctor Must First Fill Out The Georgia Department Of Health Referral Form: Https://Dhpexternal.Dph.Ga.Gov/Spoc.Html
Followed By The Spoc Screening Form: Https://Sendss.State.Ga.Us/Sendss/Ncovspoc.Assess 
Based Upon The Cdc Criteria For Symptoms And Exposure, It Will Be Determined If You Are In Need Of Testing. If You Are Referred For Testing, You Will Be Given An Id Number And Directed To The Nearest Testing Location."	-	-	Jennifer Ross Soccer Complex	-	Georgia	Https://Sendss.State.Ga.Us/Sendss/Ncovspoc.Assess	-	31406	31.97	-81.08
7545 Main Street, Woodstock, Ga, 30188	Woodstock	Cherokee	Drive-Thru	9Am-5Pm, Monday-Friday; 9Am-12Pm, Saturday	No	"Testing At This Location Requires A Doctor'S Order. Your Doctor Must First Fill Out The Georgia Department Of Health Referral Form: Https://Dhpexternal.Dph.Ga.Gov/Spoc.Html
Followed By The Spoc Screening Form: Https://Sendss.State.Ga.Us/Sendss/Ncovspoc.Assess 
Based Upon The Cdc Criteria For Symptoms And Exposure, It Will Be Determined If You Are In Need Of Testing. If You Are Referred For Testing, You Will Be Given An Id Number And Directed To The Nearest Testing Location."	-	-	Cherokee County Health Department	-	Georgia	Https://Sendss.State.Ga.Us/Sendss/Ncovspoc.Assess	-	30188	34.12	-84.45
