address	city	county	facilityType	hours	instructions	lat	lng	name	phone	state	url	zip	zipCodeLat	zipCodeLng
13289 Kessler Road, Cairo, Il 62914	Cairo	Alexander	Clinic	8Am-3Pm, Monday-Friday	Must Be Referred By Chesi Provider. Appointment Required.	-	-	Chesi - Cairo Diagnostic Center	(844) 988-7800	Illinois	Https://Www.Dph.Illinois.Gov/Covid19/Covid-19-Testing-Sites#	62914	37.1	-89.2
13245 Kessler Road, Cairo, Il 62914	Cairo	Alexander	Clinic	8Am-3Pm, Monday-Friday	Must Be Referred By Chesi Provider. Appointment Required.	-	-	Chesi - Cairo Mega Clinic	(844) 988-7800	Illinois	Https://Www.Dph.Illinois.Gov/Covid19/Covid-19-Testing-Sites#	62914	37.1	-89.2
1663 Belvidere Rd Belvidere, Il 61008	Belvidere	Boone	Urgent Care	8Am-4:30Pm, Monday-Friday	Requirements:Curbside Exam To Determine If Testing Is Appropriate; Capacity May Be Limited	-	-	Physicians Immediate Care - Belvidere	(312) 767-0400	Illinois	Https://Www.Dph.Illinois.Gov/Covid19/Covid-19-Testing-Sites#	61008	42.2	-88.8
11475 N. Second St. Machesney Park, Il 61115	Machesney Park	Boone	Urgent Care	8Am-4:30Pm, Monday-Friday	Requirements:Curbside Exam To Determine If Testing Is Appropriate; Capacity May Be Limited	-	-	Physicians Immediate Care - Machesney Park	(312) 767-0400	Illinois	Https://Www.Dph.Illinois.Gov/Covid19/Covid-19-Testing-Sites#	61115	42.36	-89.02
6115 N 2Nd St Loves Park, Il 61111	Loves Park	Boone	Urgent Care	9Am-4:30Pm, Monday-Friday	Requirements:Appointment Required. Testing Available To Fq Patients Only. Must Be Referred By Fq Provider.	-	-	Crusader Community Health	(815) 490-1600	Illinois	Https://Www.Dph.Illinois.Gov/Covid19/Covid-19-Testing-Sites#	61111	42.33	-88.99
1000 E. Riverside Blvd Loves Park, Il 61111	Loves Park	Boone	Urgent Care	8Am-4:30Pm, Monday-Friday	Requirements:Curbside Exam To Determine If Testing Is Appropriate; Capacity May Be Limited	-	-	Physicians Immediate Care - Loves Park	(312) 767-0400	Illinois	Https://Www.Dph.Illinois.Gov/Covid19/Covid-19-Testing-Sites#	61111	42.33	-88.99
8590 St. Lukes Drive, Beardstown, Il 62618	Beardstown	Cass	Clinic	8:30Am-5:30Pm, Daily	Appointment Required.	-	-	Cass County Health Clinic	(217) 323-2242	Illinois	Https://Www.Dph.Illinois.Gov/Covid19/Covid-19-Testing-Sites#	62618	40.0	-90.4
331 S. Main, Virginia, Il 62691	Virginia	Cass	Clinic	8:30Am-5:30Pm, Monday-Friday	Appointment Required.	-	-	Cass County Health Clinic	(217) 323-2242	Illinois	Https://Www.Dph.Illinois.Gov/Covid19/Covid-19-Testing-Sites#	62691	40.0	-90.2
1111 North Dunlap St Savoy, Il 61874	Savoy	Champaign	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Illinois	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	61874	40.06	-88.25
1645A West School Street Chicago, Il 60657	Chicago	Cook	Clinic	9Am-7Pm, Monday-Thursday; 9Am-5Pm,Friday-Sunday	Requirements:Covid-19 And Antibody Testing Available By Appointment Only	-	-	Aayu Clinics, Lakeview	773-Care-Now (227-3669)	Illinois	Https://Www.Aayuclinics.Com/Covid-19	60657	41.94	-87.66
1601 West Division Street Chicago, Il 60622	Chicago	Cook	Clinic	9Am-7Pm, Monday-Thursday; 9Am-5Pm,Friday-Sunday	Requirements:Covid-19 And Antibody Testing Available By Appointment Only	-	-	Aayu Clinics, Wicker Park	773-Care-Now (227-3669)	Illinois	Https://Www.Aayuclinics.Com/Covid-19	60622	41.9	-87.69
8234 S Ashland Ave Chicago, Il 60620	Chicago	Cook	Clinic	8Am-12Pm, Daily	Requirements:All Access Covid-19 Testing Sites Are Open From 8:00 A.M. - 12:00 P.M. With The First Hour Of The Day (8:00 A.M. - 9:00 A.M.) Reserved For Community Residents Over The Age Of 65 Or Any Adult That Needs Additional Assistance. We Do Not Accept Walk-Ins. There Is No Charge To Patients For This Test. If You Are Insured, Your Insurance Plan Will Be Charged For The Telehealth Visit. However, You Will Not Pay Any Out-Of-Pocket Costs. As An Fqhc, Access Will Not Turn Away Any Patients That Are Uninsured Or Unable To Pay. You Will Receive Results Within 2 - 4 Business Days.	-	-	Access Auburn-Gresham Family Health Center	(800) 836-7634	Illinois	Www.Achn.Net	60620	41.74	-87.66
3204 W 26Th St Chicago, Il 60623	Chicago	Cook	Clinic	8Am-12Pm, Daily	Requirements:All Access Covid-19 Testing Sites Are Open From 8:00 A.M. - 12:00 P.M. With The First Hour Of The Day (8:00 A.M. - 9:00 A.M.) Reserved For Community Residents Over The Age Of 65 Or Any Adult That Needs Additional Assistance. We Do Not Accept Walk-Ins. There Is No Charge To Patients For This Test. If You Are Insured, Your Insurance Plan Will Be Charged For The Telehealth Visit. However, You Will Not Pay Any Out-Of-Pocket Costs. As An Fqhc, Access Will Not Turn Away Any Patients That Are Uninsured Or Unable To Pay. You Will Receive Results Within 2 - 4 Business Days.	-	-	Access Centro Médico San Rafael	(800) 836-7634	Illinois	Www.Achn.Net	60623	41.84	-87.72
