address	city	county	facilityType	hours	inQZ	instructions	lat	lng	name	phone	state	url	virtualVisit	zip	zipCodeLat	zipCodeLng
1300 E. Washington Center Road, Fort Wayne, In 46825	Fort Wayne	Allen	Virtual Screening	8:30Am - 5:30Pm, Only 4/30-5/1	-	To Find Out If You Meet The Criteria For Testing, You Must Take Kroger'S Virtual Assessment Tool. In Just A Few Minutes, You Will Learn If You Are Eligible For Testing. If Eligible, You’Ll Be Able To Schedule Your Appointment Right Away. Https://Www.Thelittleclinic.Com/Drivethru-Testing	-	-	Bishop Dwenger High School	-	Indiana	Https://Www.Krogerhealth.Com/Covid-Locations	-	46825	41.15	-85.11
6279 East State Blvd., Fort Wayne, In 46815	Fort Wayne	Allen	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Indiana	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	46815	41.1	-85.06
10170 Illinois Road, Fort Wayne, In 46804	Fort Wayne	Allen	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Indiana	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	46804	41.05	-85.24
770 East Dupont Road, Fort Wayne, In 46825	Fort Wayne	Allen	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Indiana	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	46825	41.15	-85.11
750 Broadway # 250, Fort Wayne, In 46802	Fort Wayne	Allen	Drive-Thru	By Appointment Only	No	This Testing Facility Is Meant For Those That Meet The Cdc Criteria For Testing. Anyone With A Fever Of 100 Degrees F And A Cough Should First Call Their Healthcare Provider To Discuss Their Symptoms And Determine The Next Course Of Action.	-	-	Fort Wayne Medical Education	(260) 423-2675	Indiana	Https://Wpta21.Com/2020/03/19/Indiana-State-Health-Commissioner-Hoosier-Covid-19-Testing-Ramping-Up/	-	46802	41.07	-85.16
1717 South Calhoun Street Fort Wayne, In 46802	Fort Wayne	Allen	Clinic	By Appointment Only	No	They Currently Have A Very Limited Number Of Tests Available And Only Persons Who Are Exhibiting Symptoms And Meet Cdc Screening Guidelines Will Be Tested.	-	-	Neighborhood Health Clinic	(260) 458-2570	Indiana	Https://Wpta21.Com/2020/03/19/Indiana-State-Health-Commissioner-Hoosier-Covid-19-Testing-Ramping-Up/	-	46802	41.07	-85.16
Fort Wayne, In 46845	Fort Wayne	Allen	Screening Hotline	Open 24Hrs	No	Call Your Parkview Physicians Group Office Or 1-877-Ppg-Today ((877) 774-86329) For A Free Phone Screening. Performing A Screening Over The Phone Will Allow Medical Review While Limiting Exposure To Others. If It’S Determined That You Need To Be Seen In Person, You Will Receive Instructions On The Facility At Which To Be Seen. You Can Also Visit Parkview'S Website For Information About Covid-19 And Symptoms.	-	-	Parkview Health	(877) 774-86329	Indiana	Https://Wpta21.Com/2020/03/19/Indiana-State-Health-Commissioner-Hoosier-Covid-19-Testing-Ramping-Up/	-	46845	41.21	-85.1
920 East Coliseum Blvd., Fort Wayne, In 46805	Fort Wayne	Allen	Urgent Care	8 Am - 4:30 Monday - Friday	-	Now Testing All Patients With Covid-19 Symptoms. We Are Also Testing Healthcare Workers, First Responders, Or Exposed Patients Deemed At Risk By Our Providers (With Or Without Symptoms).	-	-	Physicians Immediate Care	(260) 498-8077	Indiana	Https://Physiciansimmediatecare.Com/Clinic/Fort-Wayne/	-	46805	41.1	-85.11
920 East Coliseum Blvd., Fort Wayne, In 46805	Fort Wayne	Allen	Urgent Care	8Am-4:30Pm M-F	-	Physicians Immediate Care Is Offering The Abbott Id Now Covid-19 Test, Which Provides Results In 5 Minutes Or 15 Minutes For A Negative Result. There Are Several Locations. You Must Call To Make An Appointment.	-	-	Physicians Immediate Care-Fort Wayne	-	Indiana	Https://Physiciansimmediatecare.Com/Covid-19-Testing-Locations/	-	46805	41.1	-85.11
4495 State Road 46 Columbus, In 47201	Columbus	Bartholomew	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Indiana	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	47201	39.2	-86.0
