address	city	county	facilityType	hours	instructions	lat	lng	name	phone	state	url	zip	zipCodeLat	zipCodeLng
1004 Bypass N., Lawrenceburg, Ky	Lawrenceburg	Anderson	Urgent Care	10Am-8Pm, 7 Days A Week	Urgent Care Of Ky Is Proud To Announce That We Are Now Offering The New Rapid Covid-19 Antigen Testing. It Is Nasal Swab And Results Are In 15 Minutes. We Are Offering The Test At All Of Our Locations. We Take Walk-In ( No Appointment Needed) Or You Can Request An Appointment On Website. It Is Free Through Your Insurance And If You Are Uninsured It Will Also Be Free Through The Covid-19 Uninsured Program.	-	-	Urgent Care Centers Of Kentucky (Lawrenceburg)	(502) 353-4220	Kentucky	Http://Www.Urgentcareofky.Com/Lawrenceburg-Urgent-Care	40342	38.0	-85.0
239 N. 12Th Street Middlesboro, Ky 40965	Middlesboro	Bell	Urgent Care	8Am-6Pm, Monday-Friday. 10Am-5Pm, Saturday-Sunday	Please See Website For Details. Complete All Online Registration Information Prior To Your Visit.	-	-	First Care - Middlesboro	(606) 619-3060	Kentucky	Https://Firstcareclinics.Com/Medical-Locations/Middlesboro-Ky/	40965	36.6	-83.7
341 East Main Street, Paris, Ky 40361	Paris	Bourbon	Drive-Thru	10Am-12Pm, Tuesday And Thurday	"The Bourbon County Health Department Has Opened Their No Cost Covid 19 Drive-Thru Testing To Everyone 18 Years And Older.  Please Proceed To Complete The Testing Enrollment Form And Schedule Your Covid 19 Testing Appointment. 

You Are Signing Up For A Covid 19 Test To Show Current Infection.  This Is Not An Antibody Test To See If You Were Previously Infected.  

By Participating In This Test, You Will Be Advised To Remain At Home Until You Have Been Notified Of Your Results; Approximately 2 To 3 Days."	-	-	Bourbon County Health Department	(859) 987-1915	Kentucky	Https://Bourboncohd.Org/	40361	38.2	-84.2
1591 Hustonville Rd., Danville, Ky 40422	Danville	Boyle	Urgent Care	8Am-6Pm, Monday-Friday. 10Am-5Pm, Saturday-Sunday	Please See Website For Details. Complete All Online Registration Information Prior To Your Visit.	-	-	First Care - Danville	(859) 724-3057	Kentucky	Https://Firstcareclinics.Com/Medical-Locations/Danville-Ky/	40422	37.6	-84.8
124 Daniel Drive, Danville, Kentucky 40422	Danville	Boyle	Clinic	8Am-4:30Pm, Monday - Friday	Testing At This Site Is By Appointment Only. You Must Call The Testing Site To Be Screened To Determine If You Are Eligible For Testing. Those Who Are Eligible Include Persons Who Currently Have Flu-Like Symptoms And Anyone Who Has Had Contact With Someone Who Might Have The Virus.	-	-	Integrity Extended Healthcare	(606) 303-4389	Kentucky	Https://Integrityhealth.Us/	40422	37.6	-84.8
340 Highway 44 E. Shepherdsville, Ky 40165	Shepherdsville	Bullitt	Urgent Care	8Am-6Pm, Monday-Friday. 10Am-5Pm, Saturday-Sunday	Please See Website For Details. Complete All Online Registration Information Prior To Your Visit.	-	-	First Care - Shepherdsville	(502) 215-8422	Kentucky	Https://Firstcareclinics.Com/Medical-Locations/Shepherdsville-Ky/	40165	38.0	-85.7
803 Poplar St, Murray, Ky 42071	Murray	Calloway	Drive-Thru	9Am-4Pm, Monday-Friday	Murray-Calloway County Hospital And Murray Medical Associates Will End Free Covid-19 Testing Beginning Monday, June 8Th. Testing Will Continue To Be Available Monday – Friday From 9 Am – 4 Pm At The Drive Thru Location On The West Side Entrance Of The Hospital (Parking Lot Is Marked By A Sign With The State Of Kentucky). Saturday Testing Will Take Place In The Murray Medical Associates Walk In Clinic Located In Suite 180 West Of The Medical Arts Building.	-	-	"Murray-Calloway County Hospital
"	(270) 762-1100	Kentucky	Https://Www.Murrayhospital.Org/Free-Testing-For-Covid-19-Will-End-June-8Th-Testing-Will-Continue-At-Drive-Thru-Location/	42071	36.6	-88.3
2955 Fort Campbell Blvd. Hopkinsville, Ky 42240	Hopkinsville	Christian	Urgent Care	8Am-6Pm, Monday-Friday. 10Am-5Pm, Saturday-Sunday	Please See Website For Details. Complete All Online Registration Information Prior To Your Visit.	-	-	First Care - Hopkinsville	(270) 632-1548	Kentucky	Https://Firstcareclinics.Com/Medical-Locations/Hopkinsville-Ky/	42240	36.9	-87.5
24 West Lexington Avenue Winchester, Ky 40391	Winchester	Clark	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Kentucky	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	40391	38.0	-84.2
480 Bullion Blvd., Ste. B Winchester, Ky 40391	Winchester	Clark	Urgent Care	8Am-6Pm, Monday-Friday. 10Am-5Pm, Saturday-Sunday	Please See Website For Details. Complete All Online Registration Information Prior To Your Visit.	-	-	First Care - Winchester	(859) 385-4222	Kentucky	Https://Firstcareclinics.Com/Medical-Locations/Winchester-Ky/	40391	38.0	-84.2
1600 Breckenridge Street, Owensboro, Ky, 42303	Owensboro	Daviess	Health Department	8Am-4:30Pm, Monday-Friday	Please See The Website To Complete The Pre-Screening Tool - Https://Greenriverdistricthealthdepartment.Fullslate.Com/Locations/3	-	-	Daviess County Health Department	(270) 686-7744	Kentucky	Https://Greenriverdistricthealthdepartment.Fullslate.Com/Locations/3	42303	37.8	-87.0
4800 Hartford Road, Owensboro, Ky 42303	Owensboro	Daviess	Virtual Screening	8:30Am - 5:30Pm, 4/28-4/30	To Find Out If You Meet The Criteria For Testing, You Must Take Kroger'S Virtual Assessment Tool. In Just A Few Minutes, You Will Learn If You Are Eligible For Testing. If Eligible, You’Ll Be Able To Schedule Your Appointment Right Away. Https://Www.Thelittleclinic.Com/Drivethru-Testing	-	-	Owensboro Community College	-	Kentucky	Https://Www.Krogerhealth.Com/Covid-Locations	42303	37.8	-87.0
2040 Harrodsburg Road, Suite 100, Lexington, Ky 40503	Lexington	Fayette	Urgent Care	8 Am - 8 Pm Monday - Friday; 9 Am - 5 Pm Saturday & Sunday	All Baptist Health Urgent Care Clinics Are Now Evaluating For Covid-19. If You Come To One Of Our Urgent Care Clinics, And Have Symptoms Of Covid-19, You Will Be Treated As Though You Are Infectious, And May Be Asked To Wait In An Area Away From Other Patients, And Given A Mask. Staff Will Also Be Wearing Masks In An Effort To Preserve The Safety Of The Environment. Testing Does Not Require An Appointment. They Will Only Test If You Meet The Screening Criteria For Covid-19 And Also Have Symptoms Including Cough, Fever And/Or Shortness Of Breath.	-	-	Baptist Health Urgent Care - Harrodsburg Road	(859) 899-7993	Kentucky	Https://Www.Baptisthealth.Com/Covid-19/Evaluation	40503	38.0	-84.53
2040 Harrodsburg Road Suite 100, Lexington, Kentucky 40503	Lexington	Fayette	Urgent Care	8Am-8Pm, Monday-Friday. 9Am-5Pm, Saturday-Sunday	"Visiting A Baptist Health Urgent Care - All Urgent Care Clinics Are Now Evaluating For Covid-19.
If You Come To One Of Our Urgent Care Clinics, And Have Symptoms Of Covid-19, You Will Be Treated As Though You Are Infectious, And May Be Asked To Wait In An Area Away From Other Patients, And Given A Mask. Staff Will Also Be Wearing Masks In An Effort To Preserve The Safety Of The Environment.
You Will Be Asked To Limit Anyone Coming Into Your Visit With You. Please See Our Temporary Visitor Restrictions Page For Additional Information.
If You Are Evaluated For Covid-19, You Must Self-Quarantine At Home Until Test Results Are Known. Your Urgent Care Clinic Will Have More Information On Appropriate Ways To Self-Quarantine At Home Per Centers For Disease Control And Prevention (Cdc) Guidelines."	-	-	"Baptist Health Urgent Care - Harrodsburg Road
"	(859) 899-7993	Kentucky	Https://Www.Baptisthealth.Com/Lexington/Services/Urgent-Care-Clinics/Baptist-Health-Urgent-Care-Harrodsburg-Road	40503	38.0	-84.53
2108 Nicholasville Road, Lexington, Ky 40503	Lexington	Fayette	Urgent Care	8 Am - 8 Pm Monday - Friday; 9 Am - 5 Pm Saturday & Sunday	All Baptist Health Urgent Care Clinics Are Now Evaluating For Covid-19. If You Come To One Of Our Urgent Care Clinics, And Have Symptoms Of Covid-19, You Will Be Treated As Though You Are Infectious, And May Be Asked To Wait In An Area Away From Other Patients, And Given A Mask. Staff Will Also Be Wearing Masks In An Effort To Preserve The Safety Of The Environment. Testing Does Not Require An Appointment. They Will Only Test If You Meet The Screening Criteria For Covid-19 And Also Have Symptoms Including Cough, Fever And/Or Shortness Of Breath.	-	-	Baptist Health Urgent Care - Nicholasville Road	(859) 260-5200	Kentucky	Https://Www.Baptisthealth.Com/Covid-19/Evaluation	40503	38.0	-84.53
500 Newtown Pike, Lexington, Ky 40508	Lexington	Fayette	Virtual Screening	8:30Am - 5:30Pm, 4/29-5/1	To Find Out If You Meet The Criteria For Testing, You Must Take Kroger'S Virtual Assessment Tool. In Just A Few Minutes, You Will Learn If You Are Eligible For Testing. If Eligible, You’Ll Be Able To Schedule Your Appointment Right Away. Https://Www.Thelittleclinic.Com/Drivethru-Testing	-	-	Bluegrass Community & Technical College	-	Kentucky	Https://Www.Krogerhealth.Com/Covid-Locations	40508	38.05	-84.5
