address	city	county	facilityType	hours	instructions	lat	lng	name	phone	state	url	zip	zipCodeLat	zipCodeLng
1125 Hwy. 30 W Gonzales, La 70737	Gonzales	Ascension	Drive-Thru	By Appointment Only.	Testing At This Site Is By Appointment Only And Is Only For Patients In The Lake Health System. Those Who Wish To Be Tested Must Call The Phone Number Listed To Get A Referral From A Doctor.	-	-	Our Lady Of The Lake	(225) 765-5500	Louisiana	Https://Www.Wafb.Com/2020/03/18/Testing-Centers-Where-Get-Tested-Covid-Baton-Rouge-Area/	70737	30.22	-90.94
17609 Old Jefferson Hwy B, Prairieville, La 70769	Prairieville	Ascension	Drive-Thru	8:00 A.M. - 5:00 P.M., Monday - Thursday; 8:00 A.M. - 4:30 P.M. Fridays	Patients Referred By A Doctor Within The Lake'S Physician Group Will Be Able To Receive A Covid-19 Test At St. Elizabeth'S Drive-Thru Set Up. Patient'S Will Need To Bring Their Id Card, Insurance Information As Well As Their Doctor'S Referral With Them In Order To Be Tested At This Site.	-	-	St. Elizabeth Hospital	(225) 673-0205	Louisiana	Https://Ololrmc.Com/About-Us/Our-Lady-Of-The-Lake-Ascension	70769	30.3	-90.9
2105 Airline Drive, Bossier City La 71111	Bossier City	Bossier	Drive-Thru	8Am-5Pm, Monday - Friday	Testing At This Site Is By Appointment Only And Is Only For Patients In The Willis Knighton Health System. You Must Have A Willis Knighton Health System Doctor'S Order To Be Tested.	-	-	Willis Knighton Innovation Center	(318) 212-4275	Louisiana	Https://Www.Wkhs.Com/Covid-19	71111	32.58	-93.69
1400 East Bert Kouns Industrial Loop, Shreveport, La 71105	Shreveport	Caddo	Drive-Thru	9Am-5Pm, Monday - Friday	Testing At This Site Is By Appointment Only And Is Only For Patients In The Christus Health System. You Must Have A Christus Health System Doctor'S Order To Be Tested.	-	-	Christus Health System	(469) 282-2000	Louisiana	Https://Www.Arklatexhomepage.Com/News/Local-News/Drive-Thru-Coronavirus-Testing-Available-With-Doctors-Order/	71105	32.45	-93.71
1400 East Bert Kouns Industrial Loop, Shreveport, La 71105	Shreveport	Caddo	Drive-Thru	9Am-5Pm, Monday - Friday	Testing At This Site Is By Appointment Only And Is Only For Patients In The Christus Health System. You Must Have A Christus Health System Doctor'S Order To Be Tested.	-	-	Christus Health System	(469) 282-2000	Louisiana	Https://Www.Arklatexhomepage.Com/News/Local-News/Drive-Thru-Coronavirus-Testing-Available-With-Doctors-Order/	71105	32.45	-93.71
9194 Mansfield Road, Shreveport, La 71118	Shreveport	Caddo	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Louisiana	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	71118	32.39	-93.81
7004 Youree Drive Shreveport, La 71105	Shreveport	Caddo	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Louisiana	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	71105	32.45	-93.71
7001 Gulf Hwy, Lake Charles, La 70607	Lake Charles	Cameron	Drive-Thru	8:30Am-3:30Pm, April 7-9Th	The Tests Are For Persons With Symptoms Who Are At High Risk For Complications. Residents Who Seek Testing Should Bring A Driver’S License Or State-Issued Identification And Any Insurance Information They May Have. A Doctor’S Referral Is Not Needed. Residents May Begin Lining Up At 8:30 Am. A Maximum Of Two People Per Vehicle May Be Tested And All Must Sit In The Front Seat Of The Vehicle. This Site Is Intended For People Who Need Testing And Have Mild Or Moderate Symptoms.	-	-	The Burton Coliseum	-	Louisiana	Https://Www.Katc.Com/News/Coronavirus/Covid-19-Screening-And-Testing-Sites	70607	30.0	-93.2
3600 Florida Blvd, Baton Rouge, La 70806	Baton Rouge	East Baton Rouge	Hospital	1Pm - 3Pm, Monday – Friday	Those Who Wish To Be Tested Must First Be Pre-Screened By A Primary Care Physician. If A Patient Meets The Guidelines Provided By The Centers For Disease Control And Prevention, Then That Patient Will Be Tested. The Orders Must Be Faxed Into The Site By The Patient’S Physician. Anyone With Written Orders Will Not Be Admitted.	-	-	Baton Rouge General Medical Center	(225) 387-7000	Louisiana	Https://Www.Brgeneral.Org/Coronavirus-Information/Covid-19-Testing-Center/	70806	30.45	-91.12
7777 Bluebonnet Boulevard, Suite 100 Suite 100, Baton Rouge, La 70808	Baton Rouge	East Baton Rouge	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Louisiana	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	70808	30.43	-91.16
