address	city	county	facilityType	hours	instructions	lat	lng	name	phone	state	url	zip	zipCodeLat	zipCodeLng
300 Main St, Lewiston, Me 04240	Lewiston	Androscoggin	Drive-Thru	24 Hours	"To Qualify For Covid-19 Testing, You Must Display Clear Symptoms Such As Fever, Dry Cough, Or Shortness Of Breath. If You Have Recently Travelled Internationally Or Have Been In Contact With People That Have Recently Travelled Internationally, Contact Your Primary Care Physician First And Follow Their Instructions."""	-	-	Central Maine Medical Center Emergency Department	(207) 795-2200	Maine	Https://Www.Mainepublic.Org/Post/Central-Maine-Health-Care-Hospitals-Set-Test-Coronavirus	04240	44.1	-70.2
20 Hartford St, Houlton, Me 04730	Houlton	Aroostook	Hospital	24 Hours	"To Qualify For Covid-19 Testing, You Must Display Clear Symptoms Such As Fever, Dry Cough, Or Shortness Of Breath. If You Have Recently Travelled Internationally Or Have Been In Contact With People That Have Recently Travelled Internationally, Contact Your Primary Care Physician First And Follow Their Instructions."""	-	-	Houlton Regional Hospital	(207) 532-2900	Maine	Http://Www2.Houltonregional.Org/	04730	46.1	-67.9
111 Auburn Street Portland, Me 04103	Portland	Cumberland	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Maine	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	04103	43.69	-70.29
51 Market Street South Portland, Me 04106	South Portland	Cumberland	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Maine	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	04106	43.63	-70.3
22 Bramhall St, Portland, Me 04102	Portland	Cumberland	Hospital	24 Hours	If You Develop Symptoms Such As Fever, Cough, And/Or Difficulty Breathing, And Have Been In Close Contact With A Person Known To Have Covid-19, Please Stay Home And Call Your Healthcare Provider. Older Patients And Individuals Who Have Severe Underlying Medical Conditions Or Are Immunocompromised Should Contact Their Healthcare Provider Early, Even If Their Illness Is Mild. If You Have Severe Symptoms, Such As Persistent Pain Or Pressure In The Chest, New Confusion Or Inability To Arouse, Or Bluish Lips Of Face, Contact Your Healthcare Provider Or Emergency Room And Seek Care Immediately. Your Doctor Will Determine If You Have Signs And Symptoms Of Covid-19 And Whether You Should Be Tested. If Your Doctor Refers You To Us, All Patients Will Be Screened Upon Entry.	-	-	Maine Medical Center	(207) 662-0111	Maine	Https://Mainehealth.Org/Maine-Medical-Center?Utm_Source=Google&Utm_Medium=Local	04102	43.66	-70.3
111 Franklin Health Commons, Farmington, Me 04938	Farmington	Franklin	Hospital	24 Hours	"To Qualify For Covid-19 Testing, You Must Display Clear Symptoms Such As Fever, Dry Cough, Or Shortness Of Breath. If You Have Recently Travelled Internationally Or Have Been In Contact With People That Have Recently Travelled Internationally, Contact Your Primary Care Physician First And Follow Their Instructions."""	-	-	Franklin Memorial Hospital	(207) 778-6031	Maine	Https://Mainehealth.Org/Franklin-Community-Health-Network	04938	44.7	-70.1
50 Union St, Ellsworth, Me 04605	Ellsworth	Hancock	Hospital	24 Hours	To Qualify For Covid-19 Testing, You Must Display Clear Symptoms Such As Fever, Dry Cough, Or Shortness Of Breath. If You Have Recently Travelled Internationally Or Have Been In Contact With People That Have Recently Travelled Internationally, Contact Your Primary Care Physician First And Follow Their Instructions.	-	-	Northern Light Maine Coast Hospital	(207) 664-5311	Maine	Https://Northernlighthealth.Org/Maine-Coast-Hospital	04605	44.7	-68.4
24 Stone Street Suite 120 Augusta, Me 04330	Augusta	Kennebec	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Maine	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	04330	44.4	-69.7
200 Kennedy Memorial Dr, Waterville, Me 04901	Waterville	Kennebec	Hospital	24 Hours	"To Qualify For Covid-19 Testing, You Must Display Clear Symptoms Such As Fever, Dry Cough, Or Shortness Of Breath. If You Have Recently Travelled Internationally Or Have Been In Contact With People That Have Recently Travelled Internationally, Contact Your Primary Care Physician First And Follow Their Instructions."""	-	-	Northern Light Inland Hospital	(207) 861-3000	Maine	Https://Northernlighthealth.Org/Inland-Hospital	04901	44.6	-69.6
6 Glen Cove Dr, Rockport, Me 04856	Rockport	Knox	Urgent Care	24 Hours	If You Develop Symptoms Such As Fever, Cough, And/Or Difficulty Breathing, And Have Been In Close Contact With A Person Known To Have Covid-19, Please Stay Home And Call Your Healthcare Provider. Older Patients And Individuals Who Have Severe Underlying Medical Conditions Or Are Immunocompromised Should Contact Their Healthcare Provider Early, Even If Their Illness Is Mild. If You Have Severe Symptoms, Such As Persistent Pain Or Pressure In The Chest, New Confusion Or Inability To Arouse, Or Bluish Lips Of Face, Contact Your Healthcare Provider Or Emergency Room And Seek Care Immediately. Your Doctor Will Determine If You Have Signs And Symptoms Of Covid-19 And Whether You Should Be Tested. If Your Doctor Refers You To Us, All Patients Will Be Screened Upon Entry.	-	-	Pen Bay Medical Center	(207) 301-8000	Maine	Https://Mainehealth.Org/Pen-Bay-Medical-Center/Patients-Visitors/Hospital-And-Facilities	04856	44.17	-69.12
