address	city	county	facilityType	hours	instructions	lat	lng	name	phone	state	url	zip	zipCodeLat	zipCodeLng
12500 Willowbrook Rd, Cumberland, Md 21502	Cumberland	Allegany	Urgent Care	24 Hours	To Qualify For Covid-19 Testing At Our Facility You Will Need To Display Symptoms Such As Fever, Dry Cough, And Shortness Of Breath. All Patients Are Screened Upon Admission. You Do Not Need A Physician'S Referral To Be Tested At Our Facility.	-	-	Upmc Western Maryland	(240) 964-7000	Maryland	Https://Www.Wmhs.Com/	21502	39.6	-78.8
3059 Solomons Island Rd, Edgewater Md, Md 21037	Edgewater	Anne Arundel	Urgent Care	10 A.M To 4 P.M Daily	If You Are Experiencing A Fever With A Runny Nose Or Cough And Recently Traveled Outside The Country Or Have Been In Contact With Someone Who Has, Please Call Before Coming In At (410) 956-3394. You Can Also Book A Telemedicine Appointment Online To Be Screened.	-	-	American Family Care Urgent Care	(410) 956-3394	Maryland	Https://Www.Afcurgentcareedgewater.Com/Telemedicine-Urgent-Care/	21037	38.9	-76.5
3 Harry S. Truman Pkwy, Annapolis, Md 21401	Annapolis	Anne Arundel	Drive-Thru	Call To Confirm	To Be Tested At This Facility, You Must Have A Doctor'S Referral.	-	-	Anne Arundel County Department Of Health	(410) 222-7095	Maryland	Https://Aahealth.Org/	21401	38.99	-76.54
2001 Medical Pkwy, Annapolis, Md 21401	Annapolis	Anne Arundel	Hospital	24 Hours	If You Have Respiratory Symptoms, Call Your Healthcare Provider. Testing Can Be Done In Physician Offices. Calling In Advance Allows Your Provider To Collect Your Health History Over The Phone And, If Needed, Work With The Appropriate State Officials To Determine If You Require Testing. In Most Cases, Outpatient Management With Self-Isolation At Home Is The Best Way To Manage Covid-19 Symptoms. Fever, Cough Or Shortness Of Breath And Symptoms Such As Rapid Heart Rate, Low Blood Pressure, High Or Very Low Temperatures, Confusion, Trouble Breathing Or Severe Dehydration Are All Severe Symptoms That Require Emergency Care. Call The Anne Arundel Emergency Department To Inform Them Of You Arrival So They Can Prepare Accordingly. If You Have Traveled Recently To China, Italy, Japan, Iran, Or South Korea, Or Think You May Have Been Exposed To Someone Who Tested Positive For The Novel Coronavirus, Please Call Your County Health Department.	-	-	Anne Arundel Medical Center	(443) 481-1000	Maryland	Https://Www.Aahs.Org/	21401	38.99	-76.54
1071 Md-3 #101, Gambrills, Md 21054	Gambrills	Anne Arundel	Drive-Thru	Call To Confirm	To Qualify For Covid-19 Testing At Our Facility You Will Need To Display Symptoms Such As Fever, Dry Cough, And Shortness Of Breath.	-	-	Chesapeake Ergent Care	(410) 721-2333	Maryland	Https://Www.Capitalgazette.Com/Coronavirus/Ac-Cn-Anne-Arundel-County-Coronavirus-Drive-Thru-Location-20200320-V2S6H2E36Rb4Ri5Pjzug4Etese-Story.Html	21054	39.02	-76.66
2600 Annapolis Road, Severn, Md 21076	Severn	Anne Arundel	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Maryland	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	21076	39.17	-76.72
157 Ritchie Highway, Severna Park, Md 21146	Severna Park	Anne Arundel	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Maryland	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	21146	39.08	-76.57
503 South Cherry Grove Avenue Annapolis, Md 21401	Annapolis	Anne Arundel	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Maryland	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	21401	38.99	-76.54
7706 Milestone Parkway Hanover, Md 21076	Hanover	Anne Arundel	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Maryland	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	21076	39.17	-76.72
9519 Philadelphia Road, Baltimore, Md 21237	Baltimore	Baltimore	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Maryland	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	21237	39.34	-76.49
