address	city	county	dateAvailable	facilityType	hours	inQZ	instructions	lat	lng	name	phone	state	url	virtualVisit	zip	zipCodeLat	zipCodeLng
Drive-Thru: 1429 N. Quincy St., Arlington, Va 22207	Arlington	Arlington	-	Drive-Thru	9 Am - 3Pm, Monday - Friday	-	To Be Tested At This Facility, You Must Have A Doctor'S Referral	-	-	Virigina Hospital Center	(703) 558-5000	Massachusetts	Https://Wtop.Com/Coronavirus/2020/03/Arlington-Hospital-Opens-Drive-Thru-Coronavirus-Sample-Collection-Site/	-	22207	38.91	-77.12
2240 Lyannough Rd, West Barnstable, Ma 02668	West Barnstable	Barnstable	-	Drive-Thru	8 Am - 6 Pm, Monday - Friday	-	To Be Tested At This Facility, You Must Have A Doctor'S Referral. If Your Provider Determines That You Qualify For Testing, You Will Be Contacted And Given A Date And Time For Your Appointment.	-	-	Cape Cod Community College	(508) 771-1800	Massachusetts	Https://Www.Capecodhealth.Org/Medical-Services/Infectious-Disease/Drive-Through-Covid-19-Testing-At-4Cs/	-	02668	41.71	-70.34
273 Teaticket Highway, Falmouth, Ma 02540	Falmouth	Barnstable	-	Urgent Care	Temporarily Closed	-	This Site Is Currently Closed	-	-	Cape Cod Healthcare Urgent Care - Falmouth	(508) 495-8000	Massachusetts	-	-	02540	41.57	-70.63
525 Long Pond Drive, Harwich Ma 02645	Harwich	Barnstable	-	Urgent Care	8 Am - 6 Pm, Monday - Friday; 8 Am - 4 Pm Saturday - Sunday	-	To Be Tested At This Facility, You Must Have A Doctor'S Referral And Appointment. Call Your Primary Care Provider If You'Re Experiencing Symptoms	-	-	Cape Cod Healthcare Urgent Care - Harwich	(508) 430-3330	Massachusetts	-	-	02645	41.7	-70.06
1220 Iyannough Road, Hyannis, Ma 02601	Hyannis	Barnstable	-	Urgent Care	9 Am - 7 Pm, Monday - Friday; 8 Am - 4 Pm Saturday - Sunday	-	To Be Tested At This Facility, You Must Have A Doctor'S Referral. Call Your Primary Care Provider If You'Re Experiencing Symptoms	-	-	Cape Cod Healthcare Urgent Care - Hyannis	(508) 862-7900	Massachusetts	-	-	02601	41.66	-70.3
2 Jan Sebastian Drive, Sandwich, Ma 02563	Sandwich	Barnstable	-	Urgent Care	9 Am - 7 Pm, Monday - Friday; 8 Am - 4 Pm Saturday - Sunday	-	To Be Tested At This Facility, You Must Have A Doctor'S Referral. Call Your Primary Care Provider If You'Re Experiencing Symptoms	-	-	Cape Cod Healthcare Urgent Care - Sandwich	(508) 833-2639	Massachusetts	-	-	02563	41.72	-70.48
27 Park St, Hyannis, Ma 02601	Hyannis	Barnstable	-	Hospital	Open 24 Hrs	-	To Prevent Further Spread Of Infection, Do Not Go Directly To Your Doctor’S Office, Urgent Care Or Emergency Centers, Contact Your Primary Care Physician By Phone First. Based On Your Symptoms, Your Doctor’S Office Will Ask A Series Of Questions About Your Health, Travel And Close Contacts To Confirm If You Need To Be Tested. If You Are Experiencing Serious Symptoms (High Fever, Shortness Of Breath, Persistent Pain In Chest, Dry Cough) And Do Not Have A Primary Care Provider, Please Visit The Triage Tents Located Outside Of Cape Cod Hospital And Falmouth Hospital For Screening. As Always, If You Are Experiencing A Medical Emergency, Please Call 911.	-	-	Cape Cod Hospital	(508) 771-1800	Massachusetts	Https://Www.Capecodhealth.Org/Locations/Profile/Cape-Cod-Hospital/	-	02601	41.66	-70.3
Patriot Square 484 Rte. 134 South Dennis, Ma 02660	South Dennis	Barnstable	-	Urgent Care	8Am-8Pm, Monday-Sunday; Check Website For Updates.	No	This Facility Follows Guidelines For Testing Based On The Centers For Disease Control And Prevention (Cdc) And The Massachusetts Department Of Public Health. They Advise To Call Your Provider, Or Their Urgent Care Facility For Evaluation Of Your Symptoms. From There, They Work With Both Commercial And State Labs To Facilitate The Testing.	-	-	Carewell Urgent Care-South Dennis	(508) 694-7901	Massachusetts	Https://Www.Carewellurgentcare.Com/Covid-19-Response-At-Carewell/	No	02660	41.71	-70.15
419 East Falmouth Highway, East Falmouth, Ma 02536	East Falmouth	Barnstable	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Massachusetts	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	02536	41.6	-70.56
100 Ter Heun Dr, Falmouth, Ma 02540	Falmouth	Barnstable	-	Hospital	Open 24 Hrs	-	To Prevent Further Spread Of Infection, Do Not Go Directly To Your Doctor’S Office, Urgent Care Or Emergency Centers, Contact Your Primary Care Physician By Phone First. Based On Your Symptoms, Your Doctor’S Office Will Ask A Series Of Questions About Your Health, Travel And Close Contacts To Confirm If You Need To Be Tested. If You Are Experiencing Serious Symptoms (High Fever, Shortness Of Breath, Persistent Pain In Chest, Dry Cough) And Do Not Have A Primary Care Provider, Please Visit The Triage Tents Located Outside Of Cape Cod Hospital And Falmouth Hospital For Screening. As Always, If You Are Experiencing A Medical Emergency, Please Call 911.	-	-	Falmouth Hospital	(508) 548-5300	Massachusetts	Https://Www.Capecodhealth.Org/Locations/Profile/Falmouth-Hospital/	-	02540	41.57	-70.63
107 West Street Pittsfield, Ma 01201	Pittsfield	Berkshire	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Massachusetts	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	01201	42.5	-73.3
