address	city	county	facilityType	hours	inQZ	instructions	lat	lng	name	phone	state	url	virtualVisit	zip	zipCodeLat	zipCodeLng
1129 Charlevoix Ave, Petoskey, Mi 49770	Petoskey	Emmet	Https://Www.Tomsguide.Com/News/Drive-Through-Coronavirus-Testing-Locations-Where-To-Go-In-Your-State#Washington-Coronavirus-Drive-Through-Testing	By Appointment	Drive-Thru	Tests Require A Doctor'S Referral.	-	-	Emmet County Fairgrounds	(231) 347-1010	Michigan	-	-	49770	45.3	-84.9
240 M.A.C. East Lansing, Mi 48823	East Lansing	Ingham	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Michigan	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	48823	42.76	-84.44
100 E Michigan Ave, Jackson, Mi 49201	Jackson	Jackson	Drive-Thru	Call To Confirm	-	To Conserve Resources For Those Who Are Sickest, Anyone With Symptoms Of Fever, Dry Cough And Shortness Of Breath Must First Call The Henry Ford Mycare Advice Line At (313) 874-7500 To Be Screened And Given An Appointment At The Testing Center. Anyone Showing Up To The Drive-Thru Testing Center Without An Appointment Will Be Turned Away, With No Exceptions.	-	-	Henry Ford Allegiance Health	(313) 874-7500	Michigan	Https://Www.Henryford.Com/Locations/Allegiance-Health/Covid19-Jackson	-	49201	42.2	-84.4
1550 Lake Drive Southeast Grand Rapids, Mi 49506	Grand Rapids	Kent	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Michigan	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	49506	42.94	-85.62
5603 Byron Center Avenue Sw	Wyoming	Kent	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Michigan	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	49519	42.9	-85.72
727 28Th Street, Se	Grand Rapids	Kent	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Michigan	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	49509	42.9	-85.69
100 Michigan St Ne, Grand Rapids, Mi 49503	Grand Rapids	Kent	Hospital	24 Hours	-	To Qualify For Covid-19 Testing At This Location, Call	-	-	Spectrum Health Butterworth Hospital	(866) 989-7999	Michigan	Https://Www.Spectrumhealth.Org/Locations/Spectrum-Health-Hospitals-Butterworth-Hospital	-	49503	42.95	-85.67
5757 Whitmore Lake Road Brighton, Mi 48116	Brighton	Livingston	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Michigan	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	48116	42.5	-83.77
33021 Garfield Fraser, Mi 48066	Fraser	Macomb	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Michigan	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	48066	42.51	-82.94
2115 Twenty-Five Mile Road Shelby Township, Mi 48316	Shelby Township	Macomb	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Michigan	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	48316	42.69	-83.06
46960 Van Dyke Ave. Shelby, Mi 48317	Shelby Township	Macomb	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Michigan	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	48317	42.64	-83.05
21777 21 Mile Road Macomb Township, Mi 48044	Macomb	Macomb	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Michigan	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	48044	42.65	-82.93
1000 Harrington St, Mt Clemens, Mi 48043	Mt Clemens	Macomb	Hospital	Call To Confirm	-	"
To Qualify For Covid-19 Testing, You Must Display Clear Symptoms Such As Fever, Dry Cough, Or Shortness Of Breath. If You Have Recently Travelled Internationally Or Have Been In Contact With People That Have Recently Travelled Internationally, Contact Your Primary Care Physician First And Follow Their Instructions."	-	-	Mclaren Macomb Hospital	(586) 493-8000	Michigan	Https://Www.Mclaren.Org/Macomb/Mclaren-Macomb-Home?Utm_Source=Loc-410&Utm_Medium=Organic&Utm_Campaign=Google-My-Business&Utm_Content=Gmb	-	48043	42.6	-82.88
28050 Grand River Ave, Farmington Hills, Mi 48336	Farmington	Oakland	Drive-Thru	24 Hours	No	Call (800) 592-4784 To Be Screened By A Nurse. They Will Determine Whether Or Not It Is Necessary For You To Get Tested, And Then Direct You To One Of The Hospital'S Drive-Thru Screening Locations.	-	-	Beaumont Hospital, Farmington Hills	(800) 592-4784	Michigan	Https://Www.Beaumont.Org/Health-Wellness/Coronavirus	No	48336	42.46	-83.35
