address	city	county	facilityType	hours	instructions	lat	lng	name	phone	state	url	zip	zipCodeLat	zipCodeLng
200 Bunker Hill Dr, Aitkin, Mn 56431	Aitkin	Aitkin	-	10 Am - 11 Am Monday - Friday	"You May Be Tested At This Location If You Have Developed Symptoms Such As Fever, Cough, And/Or Difficulty Breathing, And Are
- 65 Years Or Older
- Recently Lived In Congregate Care
- Experiencing Homelessness
- A First Responder
- A Healthcare Worker
- A Childcare Worker
- A Dialysis Patient
- A Patient With Underlying Medical Conditions"	-	-	Aitkin Clinic - Riverwood Healthcare	(218) 927-2157	Minnesota	-	56431	46.5	-93.6
2 East Center Ave, Mcgregor, Mn 55760	Mcgregor	Aitkin	Clinic	Weekday Hours : 10:00 A.M. - 11:00 A.M., Weekend Hours : Unavailable	By Appointment, Accepting Asymptomatic Patients Who May Be Contacts Of Infected Patients, Accepting Any Symptomatic Patient	-	-	Mcgregor Clinic - Riverwood Healthcare	(218) 927-5159	Minnesota	Https://Mn.Gov/Covid19/For-Minnesotans/If-Sick/Testing-Locations/	55760	46.6	-93.3
200 Bunker Hill Dr, Aitkin, Mn 56431	Aitkin	Aitkin	Drive-Thru	Weekday Hours : Unavailable, Weekend Hours : 12:30 P.M. - 2:00 P.M.	By Appointment Or Drive-Up. Accepting Asymptomatic Patients Who May Be Contacts Of Infected Patients. Accepting Any Symptomatic Patient	-	-	Riverwood Emergency Department - Riverwood Healthcare	(218) 927-5559	Minnesota	Https://Mn.Gov/Covid19/For-Minnesotans/If-Sick/Testing-Locations/	56431	46.5	-93.6
200 Bunker Hill Dr, Aitkin, Mn 56431	Aitkin	Aitkin	Clinic	Weekday Hours : 10:00 A.M. - 11:00 A.M., Weekend Hours : Unavailable	By Appointment. Accepting Asymptomatic Patients Who May Be Contacts Of Infected Patients. Accepting Any Symptomatic Patient	-	-	Riverwood Healthcare	(218) 927-5159	Minnesota	Https://Mn.Gov/Covid19/For-Minnesotans/If-Sick/Testing-Locations/	56431	46.5	-93.6
9055 Springbrook Dr, Coon Rapids, Mn 55433	Coon Rapids	Anoka	Clinic	8 Am - 4 Pm Monday - Friday	You May Be Tested At This Location If You Have Developed Symptoms Such As Fever, Cough, And/Or Difficulty Breathing. Please Call (763) 780-9155 To Set Up An Appointment.	-	-	Allina Health Coon Rapids Clinic	(763) 780-9155	Minnesota	Https://Mn.Gov/Covid19/For-Minnesotans/If-Sick/Testing-Locations/Index.Jsp	55433	45.16	-93.32
2017 Coon Rapids Boulevard Coon Rapids, Mn 55433	Coon Rapids	Anoka	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Minnesota	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	55433	45.16	-93.32
2357 108Th Lane Ne Blaine, Mn 55449	Blaine	Anoka	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Minnesota	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	55449	45.17	-93.19
11855 Ulyssess St Ne, Blaine, Mn 55434	Blaine	Anoka	Clinic	Weekday Hours : 8:00 A.M. - 4:00 P.M., Weekend Hours : Unavailable	-	-	-	North Memorial Clinic - Blaine North - Blaze	-	Minnesota	Https://Mn.Gov/Covid19/For-Minnesotans/If-Sick/Testing-Locations/	55434	45.17	-93.25
1615 Maple Ln, Ashland, Wi 54806	Ashland	Ashland	Drive-Thru	Weekday Hours : 9:00 A.M. - 5:00 P.M., Weekend Hours : 9:00 A.M. - 5:00 P.M.	Accepting Symptomatic Patients Over Age 65, Accepting Symptomatic Patients Living In Or Recently In Congregate Care, Accepting Symptomatic Patients Who Are Experiencing Homelessness, Accepting Symptomatic Dialysis Patients, Accepting Symptomatic Health Care Workers And/Or Their Symptomatic Family, Accepting All Symptomatic Patients With Underlying Medical Conditions, Accepting Symptomatic First Responders, Accepting Symptomatic Child Care Workers	-	-	Memorial Medical Center - Essentia Health	(800) 494-836	Minnesota	Https://Mn.Gov/Covid19/For-Minnesotans/If-Sick/Testing-Locations/	54806	46.8	-90.9
225 Park St, Detroit Lakes, Mn 56501	Detroit Lakes	Becker	Drive Up	Weekday Hours : 9:00 A.M. - 4:30 P.M., Weekend Hours : 10:00 A.M. - 4:30 P.M.	Accepting Symptomatic Patients Over Age 65, Accepting Symptomatic Patients Living In Or Recently In Congregate Care, Accepting Symptomatic Patients Who Are Experiencing Homelessness, Accepting Symptomatic Dialysis Patients, Accepting Symptomatic Health Care Workers And/Or Their Symptomatic Family, Accepting All Symptomatic Patients With Underlying Medical Conditions, Accepting Symptomatic First Responders, Accepting Symptomatic Child Care Workers	-	-	Detroit Lakes Clinic - Essentia Health	(800) 494-836	Minnesota	Https://Mn.Gov/Covid19/For-Minnesotans/If-Sick/Testing-Locations/	56501	46.8	-95.7
