address	city	county	dateAvailable	facilityType	hours	instructions	lat	lng	name	phone	state	url	zip	zipCodeLat	zipCodeLng
1600 E. Broadway, Columbia, Mo 65201; Lot 1 By The Emergency Room	Columbia	Boone	-	Drive-Thru	Call To Confirm	Tests Require A Referral From A Physician.	-	-	Boone Hospital	(573) 815-8000	Missouri	Https://Www.Columbiamissourian.Com/News/Covid19/Boone-Hospital-Opens-Covid--Drive-Thru-Test-Collection-Site/Article_35B2708E-693C-11Ea-B7Cd-Bb2C8E9Dbb7C.Html	65201	38.9	-92.2
800 Hospital Dr, Columbia, Mo 65201	Columbia	Boone	-	Hospital	24 Hours	Tests Require A Referral From A Physician.	-	-	Harry S. Truman Memorial Veterans' Hospital (Va)	(573) 814-6000	Missouri	Https://Health.Mo.Gov/Living/Healthcondiseases/Communicable/Novel-Coronavirus/Mobile-Testing.Php	65201	38.9	-92.2
1 Hospital Dr, Columbia, Mo 65201	Columbia	Boone	-	Drive-Thru	7 Am - 7 Pm Daily	Tests Require A Referral From A Physician. To Be Assessed, Contact Your Primary Care Provider Or Go To Www.Muhealthvideovisits.Org And Choose The “Covid-19 Video Visit” . This Video Visit Assessment Is Free.	-	-	Mu Health	(573) 882-4141	Missouri	Https://Www.Muhealth.Org/Our-Stories/How-Do-I-Get-Tested-Covid-19?Utm_Source=Website&Utm_Medium=Homepage	65201	38.9	-92.2
202 E Nifong Blvd, Columbia, Missouri 65203	Columbia	Boone	-	Drive-Thru	9 Am - 8 Pm, Every Day	Please Stay In Your Car Until A Healthcare Professional Approaches You. To Be Tested For Covid-19 At This Site, You Must Display Symptoms Such As Dry Cough, Fever, Or Difficulty Breathing.	-	-	Providence Urgent Care: Columbia, Mo (Nifong Blvd.)	573-874-6824	Missouri	Https://Nextcare.Com/Curbside/	65203	38.9	-92.4
54 Hospital Dr Suite 111, Osage Beach, Mo 65065	Osage Beach	Camden	-	Hospital	Call To Confirm	If You Have Developed Symptoms Such As Fever, Cough, And/Or Difficulty Breathing, And Have Been In Close Contact With A Person Known To Have Covid-19, You May Be Tested At This Location. Please Call (573) 348-8000 To Set Up An Appointment.	-	-	Lake Regional Health System	(573) 348-8000	Missouri	Https://Www.Lakeregional.Com/	65065	38.14	-92.66
 211 St Francis Dr, Cape Girardeau, Mo 63703	Cape Girardeau	Cape Girardeau	-	Hospital	9 Am - 5 Pm	If You Have Developed Symptoms Such As Fever, Cough, And/Or Difficulty Breathing, And Have Been In Close Contact With A Person Known To Have Covid-19, You May Be Tested At This Location.	-	-	Saint Francis Medical Center	(573) 331-4200	Missouri	Https://Health.Mo.Gov/Living/Healthcondiseases/Communicable/Novel-Coronavirus/Mobile-Testing.Php	63703	37.28	-89.54
1215 West Foxwood Drive Raymore, Mo 64083	Raymore	Cass	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	64083	38.79	-94.45
2741 Ne Mcbaine Dr, Lee'S Summit, Mo 64064	Lee's Summit	Cass	-	Hospital	8 Am - 8 Pm, Every Day	If You Have Developed Symptoms Such As Fever, Cough, And/Or Difficulty Breathing, And Have Been In Close Contact With A Person Known To Have Covid-19, You May Be Tested At This Location. Please Call (816) 554-2600 To Set Up Your Appointment.	-	-	Nextcare Urgent Care	(816) 554-2600	Missouri	Https://Nextcare.Com/Locations/Mo/Nextcare-Urgent-Care-Clinic-Lee-Summit-Missouri/?Utm_Source=Googlemaps&Utm_Medium=Local&Utm_Campaign=Lees_Summit	64064	38.99	-94.32
4990 Northeast Vivion Road Kansas City, Mo 64119	Kansas City	Clay	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	64119	39.21	-94.51
4149 North Oak Trafficway Kansas City, Mo 64116	Kansas City	Clay	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	64116	39.15	-94.57
1860 N Church Rd, Liberty, Mo 64068	Liberty	Clay	-	Drive-Thru	8 Am - 8 Pm Monday - Friday; 9 Am - 4 Pm Saturday - Sunday	If You Have Developed Symptoms Such As Fever, Cough, And/Or Difficulty Breathing, And Have Been In Close Contact With A Person Known To Have Covid-19, You May Be Tested At This Location. Please Call (816) 415-2828 To Set Up Your Appointment.	-	-	Next Care Urgent Care	(816) 415-2828	Missouri	Https://Nextcare.Com/Locations/Mo/Nextcare-Urgent-Care-Clinic-Liberty-Missouri/?Utm_Source=Googlemaps&Utm_Medium=Local&Utm_Campaign=Liberty	64068	39.3	-94.4
1600 E Evergreen St, Cameron, Mo 64429	Cameron	Clinton	-	Hospital	24 Hours	If You Have Developed Symptoms Such As Fever, Cough, And/Or Difficulty Breathing, And Have Been In Close Contact With A Person Known To Have Covid-19, You May Be Tested At This Location.	-	-	Cameron Regional Medical Center	(816) 632-2101	Missouri	Https://Health.Mo.Gov/Living/Healthcondiseases/Communicable/Novel-Coronavirus/Mobile-Testing.Php	64429	39.7	-94.2
1125 Madison St, Jefferson City, Mo 65101	Jefferson City	Cole	-	Hospital	Call To Confirm	If You Have Developed Symptoms Such As Fever, Cough, And/Or Difficulty Breathing, And Have Been In Close Contact With A Person Known To Have Covid-19, You May Be Tested At This Location.	-	-	Capital Region Medical Center	(833) 763-0444	Missouri	Https://Health.Mo.Gov/Living/Healthcondiseases/Communicable/Novel-Coronavirus/Mobile-Testing.Php	65101	38.5	-92.1
101 Chestnut St, Jefferson City, Mo 65101	Jefferson City	Cole	-	Laboratory	Call To Confirm	The Missouri Health Labratory Will Only Be Testing First Responders And Health Care Officials. Please Call To Schedule An Appointment For Testing.	-	-	Missouri Health Laboratory	(573) 751-3334	Missouri	-	65101	38.5	-92.1
2120 Osage Street West Pacific, Mo 63069	Pacific	Franklin	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	63069	38.5	-90.7
509 W 18Th St, Hermann, Mo 65041	Hermann	Gasconade	-	Hospital	-	If You Have Developed Symptoms Such As Fever, Cough, And/Or Difficulty Breathing, And Have Been In Close Contact With A Person Known To Have Covid-19, Call (573) 569-5049 To Be Tested At This Facility.	-	-	Hermann Area District Hospital	(573) 569-5049	Missouri	Https://Www.Hadh.Org/	65041	38.7	-91.4
